"TimeN"	"y"	"Q"	"Temp"	"InOutF"	"Month"
"1"	6.86115008244358e-14	0.550494906964285	4.54959662	6.0175	"0"	"January"
"2"	0.000118560673493237	0.510703719354839	1.3536179	5.62395833333333	"0"	"January"
"3"	0.000237121346917862	0.454502076056338	0.97700165	5.63361111111111	"0"	"January"
"4"	0.000414962357054799	0.437262222058824	0.84766497	5.79784722222222	"0"	"January"
"5"	0.000533523030479424	0.424873693076923	0.72940805	5.46986111111111	"0"	"January"
"6"	0.000652083703904049	0.435850050793651	0.62149937	5.34840277777778	"0"	"January"
"7"	0.000829924714040987	0.437076772033898	0.57119702	4.31715277777778	"0"	"January"
"8"	0.000948485387465612	0.445526230701754	0.52320741	4.18590277777778	"0"	"January"
"9"	0.00106704606089024	0.413861946956522	0.52320741	4.45888888888889	"0"	"January"
"10"	0.00124488707102717	0.372303713333333	0.4774391	4.22590277777778	"0"	"February"
"11"	0.0013634477444518	0.419620944761905	0.43380065	4.15479166666667	"0"	"February"
"12"	0.00148200841787642	0.395725210185185	0.43380065	4.17006944444444	"0"	"February"
"13"	0.00165984942801336	0.419017421568627	0.43380065	3.32736111111111	"0"	"February"
"14"	0.00177841010143799	0.374721952830189	0.35254757	3.81777777777778	"0"	"February"
"15"	0.00189697077486261	0.381968116666667	0.39220062	4.40923611111111	"0"	"February"
"16"	0.00207481178499955	0.387249058415842	0.43380065	4.0569909916162	"0"	"February"
"17"	0.00219337245842417	0.386564924528302	0.43380065	4.51423611111111	"0"	"February"
"18"	0.0023119331318488	0.393924460952381	0.43380065	4.72020833333333	"0"	"February"
"19"	0.00248977414198574	0.333514009367088	0.4774391	5.02881944444444	"0"	"February"
"20"	0.00260833481541036	0.345454095465393	0.57119702	5.265	"0"	"February"
"21"	0.00272689548883499	0.390429776047905	0.52320741	5.31340277777778	"0"	"February"
"23"	0.00385322188636893	0.448341157417584	0.6742059	6.06858156028369	"0"	"March"
"24"	0.00397178255979355	0.450308455932203	0.84766497	5.63451388888889	"0"	"March"
"25"	0.00426818424335511	0.451046340759493	1.19338142	5.95256944444444	"0"	"March"
"26"	0.00438674491677974	0.450286163495574	1.71574262	6.26138888888889	"0"	"March"
"27"	0.00456458592691668	0.505247204136692	3.34018401	6.07375	"0"	"March"
"28"	0.00539451064088905	0.465858092261905	3.1880003	6.75916666666667	"0"	"April"
"29"	0.00551307131431368	0.488456652469136	2.89816062	6.7064	"0"	"April"
"30"	0.0056316319877383	0.489661665	3.65953637	6.81527777777778	"0"	"April"
"31"	0.00580947299787524	0.458530250704225	1.44684797380824	6.67798611111111	"0"	"April"
"32"	0.00592803367129986	0.46866489047619	2.23034476919036	7.01416666666667	"0"	"April"
"34"	0.00687651905869686	0.520151795967742	1.91744997156295	7.44054331633405	"0"	"May"
"35"	0.0070543600688338	0.480789100847458	1.17475906749053	7.26574608756469	"0"	"May"
"36"	0.00717292074225843	0.525960539473684	1.14643360025884	7.74687087826923	"0"	"May"
"37"	0.00729148141568305	0.586468767638486	1.71800727121399	7.59296902755545	"0"	"May"
"38"	0.00746932242581999	0.556204712307694	0.919910448133681	7.59296902755545	"0"	"May"
"39"	0.00758788309924461	0.486899696330275	0.562871929630529	7.94992955170937	"0"	"May"
"40"	0.00770644377266924	0.513293129834253	1.43555510450765	7.54935015015544	"0"	"May"
"41"	0.0080028454562308	0.545411024719101	2.09620067885277	7.15499100572054	"0"	"May"
"42"	0.00812140612965543	0.493851666157204	1.36053164860396	7.22163778019409	"0"	"May"
"43"	0.00829924713979236	0.417875178195489	0.601518055144492	7.88138214311611	"0"	"June"
"44"	0.00841780781321699	0.419552612628867	0.355538421586535	8.27965277777778	"0"	"June"
"45"	0.00853636848664161	0.417919220967742	0.209762922704567	9.37784722222222	"0"	"June"
"46"	0.00871420949677855	0.387172146774194	0.0950587291530006	10.1733333333333	"0"	"June"
"47"	0.00883277017020318	0.431686324107143	0.056083381274904	9.18854166666667	"0"	"June"
"48"	0.0089513308436278	0.367118711607143	0.0330884463031358	9.959375	"0"	"June"
"49"	0.00912917185376474	0.389199133333333	0.0149947646355796	10.3584027777778	"0"	"June"
"50"	0.00924773252718936	0.4493560192	0.39220062	9.046875	"0"	"June"
"51"	0.00936629320061399	0.515771634615385	0.4774391	8.27951388888889	"0"	"June"
"52"	0.00954413421075093	0.47371086744186	0.97700165	7.69479166666667	"0"	"June"
"53"	0.00966269488417555	0.484696239705882	1.19338142	7.43284722222222	"0"	"June"
"54"	0.00978125555760018	0.4266700392	0.57119702	8.17493055555556	"0"	"June"
"55"	0.00995909656773711	0.472306138405797	0.97700165	8.25131944444444	"0"	"June"
"56"	0.0100776572411617	0.438629222160666	0.57119702	8.47805555555555	"0"	"June"
"57"	0.0101962179145864	0.422424463414634	0.43380065	9.48555555555556	"0"	"July"
"58"	0.0103740589247233	0.41054965263158	0.21157637	10.595625	"0"	"July"
"59"	0.0104926195981479	0.383841249107143	0.06819662	11.0360416666667	"0"	"July"
"60"	0.0106111802715726	0.463405705217391	0.35254757	9.07083333333333	"0"	"July"
"61"	0.0107890212817095	0.260078224858757	0.09444165	9.85201388888889	"0"	"July"
"62"	0.0108483016184218	0.260078224858757	0.09444165	9.85201388888889	"0"	"July"
"63"	0.0110261426285587	0.444000897360703	0.52320741	9.53375	"0"	"July"
"64"	0.0112039836386957	0.409492454545455	0.27871665	10.9029166666667	"0"	"July"
"65"	0.0113225443121203	0.390638096581197	0.21157637	10.6194444444444	"0"	"July"
"66"	0.0114411049855449	0.387169896521739	0.15039521	11.1759722222222	"0"	"July"
